variant,config_index,m_bits,l_bits,k_bits,ssim,ssim_error
SETA,50,4,11,1,0.993090669,0.006909331
OLOCA,50,4,11,1,0.993091233,0.006908767
MHERLOA,50,4,11,1,0.993091233,0.006908767
LDCA,50,4,11,1,0.992120738,0.007879262
HOAANED,50,4,11,1,0.993091233,0.006908767
COPY,51,5,1,10,0.629365527,0.370634473
LOA,51,5,1,10,0.632601612,0.367398388
TRUNC,51,5,1,10,0.623360428,0.376639572
COPY B,51,5,1,10,0.629551704,0.370448296
COPY AB,51,5,1,10,0.629073156,0.370926844
COPY BA,51,5,1,10,0.629834788,0.370165212
TRUNC 1,51,5,1,10,0.636043576,0.363956424
LZTA,51,5,1,10,0.998840196,0.001159804
HOERAA,51,5,1,10,0.998986447,0.001013553
MHEAA,51,5,1,10,0.999032276,0.000967724
HERLOA,51,5,1,10,0.999019427,0.000980573
HEAA,51,5,1,10,0.999025857,0.000974143
ETA,51,5,1,10,0.999125931,0.000874069
SETA,51,5,1,10,0.998818111,0.001181889
OLOCA,51,5,1,10,0.998819362,0.001180638
MHERLOA,51,5,1,10,0.999021124,0.000978876
LDCA,51,5,1,10,0.998676183,0.001323817
HOAANED,51,5,1,10,0.999000113,0.000999887
COPY,52,5,2,9,0.630937105,0.369062895
LOA,52,5,2,9,0.632811552,0.367188448
TRUNC,52,5,2,9,0.628267881,0.371732119
COPY B,52,5,2,9,0.631552681,0.368447319
COPY AB,52,5,2,9,0.631086657,0.368913343
COPY BA,52,5,2,9,0.631402729,0.368597271
TRUNC 1,52,5,2,9,0.634612371,0.365387629
LZTA,52,5,2,9,0.998484742,0.001515258
HOERAA,52,5,2,9,0.998604190,0.001395810
MHEAA,52,5,2,9,0.998636519,0.001363481
HERLOA,52,5,2,9,0.998629044,0.001370956
HEAA,52,5,2,9,0.998632275,0.001367725
ETA,52,5,2,9,0.998965209,0.001034791
SETA,52,5,2,9,0.998499613,0.001500387
OLOCA,52,5,2,9,0.998500633,0.001499367
MHERLOA,52,5,2,9,0.998629318,0.001370682
LDCA,52,5,2,9,0.998308062,0.001691938
HOAANED,52,5,2,9,0.998618051,0.001381949
COPY,53,5,3,8,0.633514731,0.366485269
LOA,53,5,3,8,0.634369024,0.365630976
TRUNC,53,5,3,8,0.632024952,0.367975048
COPY B,53,5,3,8,0.633655495,0.366344505
COPY AB,53,5,3,8,0.633648643,0.366351357
COPY BA,53,5,3,8,0.633521624,0.366478376
TRUNC 1,53,5,3,8,0.635197945,0.364802055
LZTA,53,5,3,8,0.998369697,0.001630303
HOERAA,53,5,3,8,0.998367870,0.001632130
MHEAA,53,5,3,8,0.998389950,0.001610050
HERLOA,53,5,3,8,0.998384925,0.001615075
HEAA,53,5,3,8,0.998388617,0.001611383
ETA,53,5,3,8,0.998930541,0.001069459
SETA,53,5,3,8,0.998305405,0.001694595
OLOCA,53,5,3,8,0.998305531,0.001694469
MHERLOA,53,5,3,8,0.998385151,0.001614849
LDCA,53,5,3,8,0.998151461,0.001848539
HOAANED,53,5,3,8,0.998378716,0.001621284
COPY,54,5,4,7,0.632221858,0.367778142
LOA,54,5,4,7,0.632647533,0.367352467
TRUNC,54,5,4,7,0.631466204,0.368533796
COPY B,54,5,4,7,0.632254628,0.367745372
COPY AB,54,5,4,7,0.632247525,0.367752475
COPY BA,54,5,4,7,0.632228922,0.367771078
TRUNC 1,54,5,4,7,0.633048092,0.366951908
LZTA,54,5,4,7,0.998361531,0.001638469
HOERAA,54,5,4,7,0.998374692,0.001625308
MHEAA,54,5,4,7,0.998387516,0.001612484
HERLOA,54,5,4,7,0.998383090,0.001616910
HEAA,54,5,4,7,0.998386531,0.001613469
ETA,54,5,4,7,0.998919467,0.001080533
SETA,54,5,4,7,0.998345942,0.001654058
OLOCA,54,5,4,7,0.998347800,0.001652200
MHERLOA,54,5,4,7,0.998383433,0.001616567
LDCA,54,5,4,7,0.998164696,0.001835304
HOAANED,54,5,4,7,0.998378593,0.001621407
COPY,55,5,5,6,0.633026880,0.366973120
LOA,55,5,5,6,0.633244626,0.366755374
TRUNC,55,5,5,6,0.632677695,0.367322305
COPY B,55,5,5,6,0.633052160,0.366947840
COPY AB,55,5,5,6,0.633051823,0.366948177
COPY BA,55,5,5,6,0.633027195,0.366972805
TRUNC 1,55,5,5,6,0.633461779,0.366538221
LZTA,55,5,5,6,0.998362055,0.001637945
HOERAA,55,5,5,6,0.998263189,0.001736811
MHEAA,55,5,5,6,0.998267262,0.001732738
HERLOA,55,5,5,6,0.998265377,0.001734623
HEAA,55,5,5,6,0.998265907,0.001734093
ETA,55,5,5,6,0.998918888,0.001081112
SETA,55,5,5,6,0.998243715,0.001756285
OLOCA,55,5,5,6,0.998244654,0.001755346
MHERLOA,55,5,5,6,0.998265448,0.001734552
LDCA,55,5,5,6,0.997981156,0.002018844
HOAANED,55,5,5,6,0.998265096,0.001734904
COPY,56,5,6,5,0.629320410,0.370679590
LOA,56,5,6,5,0.629427327,0.370572673
TRUNC,56,5,6,5,0.629146124,0.370853876
COPY B,56,5,6,5,0.629337937,0.370662063
COPY AB,56,5,6,5,0.629336450,0.370663550
COPY BA,56,5,6,5,0.629321903,0.370678097
TRUNC 1,56,5,6,5,0.629530228,0.370469772
LZTA,56,5,6,5,0.998338479,0.001661521
HOERAA,56,5,6,5,0.998282325,0.001717675
MHEAA,56,5,6,5,0.998285145,0.001714855
HERLOA,56,5,6,5,0.998284444,0.001715556
HEAA,56,5,6,5,0.998284936,0.001715064
ETA,56,5,6,5,0.998915124,0.001084876
SETA,56,5,6,5,0.998274287,0.001725713
OLOCA,56,5,6,5,0.998274437,0.001725563
MHERLOA,56,5,6,5,0.998284459,0.001715541
LDCA,56,5,6,5,0.998099409,0.001900591
HOAANED,56,5,6,5,0.998283769,0.001716231
COPY,57,5,7,4,0.630295335,0.369704665
LOA,57,5,7,4,0.630350093,0.369649907
TRUNC,57,5,7,4,0.630218837,0.369781163
COPY B,57,5,7,4,0.630314026,0.369685974
COPY AB,57,5,7,4,0.630311242,0.369688758
COPY BA,57,5,7,4,0.630298122,0.369701878
TRUNC 1,57,5,7,4,0.630404898,0.369595102
LZTA,57,5,7,4,0.998213447,0.001786553
HOERAA,57,5,7,4,0.998323131,0.001676869
MHEAA,57,5,7,4,0.998324959,0.001675041
HERLOA,57,5,7,4,0.998324272,0.001675728
HEAA,57,5,7,4,0.998324790,0.001675210
ETA,57,5,7,4,0.998914857,0.001085143
SETA,57,5,7,4,0.998319398,0.001680602
OLOCA,57,5,7,4,0.998319606,0.001680394
MHERLOA,57,5,7,4,0.998322642,0.001677358
LDCA,57,5,7,4,0.998044764,0.001955236
HOAANED,57,5,7,4,0.998323757,0.001676243
COPY,58,5,8,3,0.632594602,0.367405398
LOA,58,5,8,3,0.632618195,0.367381805
TRUNC,58,5,8,3,0.632554275,0.367445725
COPY B,58,5,8,3,0.632598763,0.367401237
COPY AB,58,5,8,3,0.632595718,0.367404282
COPY BA,58,5,8,3,0.632597648,0.367402352
TRUNC 1,58,5,8,3,0.632641358,0.367358642
LZTA,58,5,8,3,0.998280201,0.001719799
HOERAA,58,5,8,3,0.998236287,0.001763713
MHEAA,58,5,8,3,0.998237091,0.001762909
HERLOA,58,5,8,3,0.998234236,0.001765764
HEAA,58,5,8,3,0.998237049,0.001762951
ETA,58,5,8,3,0.998913918,0.001086082
SETA,58,5,8,3,0.998234236,0.001765764
OLOCA,58,5,8,3,0.998234279,0.001765721
MHERLOA,58,5,8,3,0.998235595,0.001764405
LDCA,58,5,8,3,0.998023121,0.001976879
HOAANED,58,5,8,3,0.998236596,0.001763404
COPY,59,5,9,2,0.630966238,0.369033762
LOA,59,5,9,2,0.630975995,0.369024005
TRUNC,59,5,9,2,0.630948702,0.369051298
COPY B,59,5,9,2,0.630967978,0.369032022
COPY AB,59,5,9,2,0.630967295,0.369032705
COPY BA,59,5,9,2,0.630966922,0.369033078
TRUNC 1,59,5,9,2,0.630985952,0.369014048
LZTA,59,5,9,2,0.998240287,0.001759713
HOERAA,59,5,9,2,0.998192324,0.001807676
MHEAA,59,5,9,2,0.998192324,0.001807676
HERLOA,59,5,9,2,0.998192304,0.001807696
HEAA,59,5,9,2,0.998193789,0.001806211
ETA,59,5,9,2,0.998913882,0.001086118
SETA,59,5,9,2,0.998192304,0.001807696
OLOCA,59,5,9,2,0.998192324,0.001807676
MHERLOA,59,5,9,2,0.998192966,0.001807034
LDCA,59,5,9,2,0.998069475,0.001930525
HOAANED,59,5,9,2,0.998192324,0.001807676
COPY,60,5,10,1,0.631657279,0.368342721
LOA,60,5,10,1,0.631660546,0.368339454
TRUNC,60,5,10,1,0.631651227,0.368348773
COPY B,60,5,10,1,0.631657912,0.368342088
COPY AB,60,5,10,1,0.631657279,0.368342721
COPY BA,60,5,10,1,0.631657912,0.368342088
TRUNC 1,60,5,10,1,0.631663681,0.368336319
LZTA,60,5,10,1,0.998310494,0.001689506
HOERAA,60,5,10,1,0.998263292,0.001736708
MHEAA,60,5,10,1,0.998263292,0.001736708
HERLOA,60,5,10,1,0.998263014,0.001736986
HEAA,60,5,10,1,0.998263014,0.001736986
ETA,60,5,10,1,0.998914001,0.001085999
SETA,60,5,10,1,0.998263014,0.001736986
OLOCA,60,5,10,1,0.998263292,0.001736708
MHERLOA,60,5,10,1,0.998263292,0.001736708
LDCA,60,5,10,1,0.998095928,0.001904072
HOAANED,60,5,10,1,0.998263292,0.001736708
COPY,61,6,1,9,0.635047383,0.364952617
LOA,61,6,1,9,0.636905204,0.363094796
TRUNC,61,6,1,9,0.632411864,0.367588136
COPY B,61,6,1,9,0.635667256,0.364332744
COPY AB,61,6,1,9,0.635198214,0.364801786
COPY BA,61,6,1,9,0.635516021,0.364483979
TRUNC 1,61,6,1,9,0.638681236,0.361318764
LZTA,61,6,1,9,0.999715413,0.000284587
HOERAA,61,6,1,9,0.999755131,0.000244869
MHEAA,61,6,1,9,0.999765926,0.000234074
HERLOA,61,6,1,9,0.999767398,0.000232602
HEAA,61,6,1,9,0.999767517,0.000232483
ETA,61,6,1,9,0.999791298,0.000208702
SETA,61,6,1,9,0.999717297,0.000282703
OLOCA,61,6,1,9,0.999714547,0.000285453
MHERLOA,61,6,1,9,0.999767090,0.000232910
LDCA,61,6,1,9,0.999688067,0.000311933
HOAANED,61,6,1,9,0.999758569,0.000241431
COPY,62,6,2,8,0.637701415,0.362298585
LOA,62,6,2,8,0.638547352,0.361452648
TRUNC,62,6,2,8,0.636229781,0.363770219
COPY B,62,6,2,8,0.637845442,0.362154558
COPY AB,62,6,2,8,0.637836375,0.362163625
COPY BA,62,6,2,8,0.637710524,0.362289476
TRUNC 1,62,6,2,8,0.639365357,0.360634643
LZTA,62,6,2,8,0.999628866,0.000371134
HOERAA,62,6,2,8,0.999653448,0.000346552
MHEAA,62,6,2,8,0.999661088,0.000338912
HERLOA,62,6,2,8,0.999660643,0.000339357
HEAA,62,6,2,8,0.999661257,0.000338743
ETA,62,6,2,8,0.999749988,0.000250012
SETA,62,6,2,8,0.999624772,0.000375228
OLOCA,62,6,2,8,0.999624071,0.000375929
MHERLOA,62,6,2,8,0.999660487,0.000339513
LDCA,62,6,2,8,0.999577866,0.000422134
HOAANED,62,6,2,8,0.999657846,0.000342154
COPY,63,6,3,7,0.636417964,0.363582036
LOA,63,6,3,7,0.636839628,0.363160372
TRUNC,63,6,3,7,0.635671401,0.364328599
COPY B,63,6,3,7,0.636452143,0.363547857
COPY AB,63,6,3,7,0.636442804,0.363557196
COPY BA,63,6,3,7,0.636427264,0.363572736
TRUNC 1,63,6,3,7,0.637234692,0.362765308
LZTA,63,6,3,7,0.999627216,0.000372784
HOERAA,63,6,3,7,0.999630975,0.000369025
MHEAA,63,6,3,7,0.999636871,0.000363129
HERLOA,63,6,3,7,0.999634600,0.000365400
HEAA,63,6,3,7,0.999636742,0.000363258
ETA,63,6,3,7,0.999735302,0.000264698
SETA,63,6,3,7,0.999618198,0.000381802
OLOCA,63,6,3,7,0.999618992,0.000381008
MHERLOA,63,6,3,7,0.999634708,0.000365292
LDCA,63,6,3,7,0.999558266,0.000441734
HOAANED,63,6,3,7,0.999631968,0.000368032
COPY,64,6,4,6,0.637178325,0.362821675
LOA,64,6,4,6,0.637393469,0.362606531
TRUNC,64,6,4,6,0.636833419,0.363166581
COPY B,64,6,4,6,0.637202726,0.362797274
COPY AB,64,6,4,6,0.637202427,0.362797573
COPY BA,64,6,4,6,0.637178602,0.362821398
TRUNC 1,64,6,4,6,0.637608372,0.362391628
LZTA,64,6,4,6,0.999603530,0.000396470
HOERAA,64,6,4,6,0.999554489,0.000445511
MHEAA,64,6,4,6,0.999556154,0.000443846
HERLOA,64,6,4,6,0.999555810,0.000444190
HEAA,64,6,4,6,0.999555764,0.000444236
ETA,64,6,4,6,0.999735240,0.000264760
SETA,64,6,4,6,0.999544004,0.000455996
OLOCA,64,6,4,6,0.999544240,0.000455760
MHERLOA,64,6,4,6,0.999555830,0.000444170
LDCA,64,6,4,6,0.999501576,0.000498424
HOAANED,64,6,4,6,0.999555780,0.000444220
COPY,65,6,5,5,0.633395951,0.366604049
LOA,65,6,5,5,0.633501685,0.366498315
TRUNC,65,6,5,5,0.633223615,0.366776385
COPY B,65,6,5,5,0.633413451,0.366586549
COPY AB,65,6,5,5,0.633411987,0.366588013
COPY BA,65,6,5,5,0.633397420,0.366602580
TRUNC 1,65,6,5,5,0.633603159,0.366396841
LZTA,65,6,5,5,0.999584658,0.000415342
HOERAA,65,6,5,5,0.999606179,0.000393821
MHEAA,65,6,5,5,0.999607382,0.000392618
HERLOA,65,6,5,5,0.999607147,0.000392853
HEAA,65,6,5,5,0.999607382,0.000392618
ETA,65,6,5,5,0.999734824,0.000265176
SETA,65,6,5,5,0.999602464,0.000397536
OLOCA,65,6,5,5,0.999602466,0.000397534
MHERLOA,65,6,5,5,0.999607154,0.000392846
LDCA,65,6,5,5,0.999542666,0.000457334
HOAANED,65,6,5,5,0.999606742,0.000393258
COPY,66,6,6,4,0.634290961,0.365709039
LOA,66,6,6,4,0.634345334,0.365654666
TRUNC,66,6,6,4,0.634215462,0.365784538
COPY B,66,6,6,4,0.634309660,0.365690340
COPY AB,66,6,6,4,0.634306857,0.365693143
COPY BA,66,6,6,4,0.634293767,0.365706233
TRUNC 1,66,6,6,4,0.634399309,0.365600691
LZTA,66,6,6,4,0.999576648,0.000423352
HOERAA,66,6,6,4,0.999577923,0.000422077
MHEAA,66,6,6,4,0.999578796,0.000421204
HERLOA,66,6,6,4,0.999578456,0.000421544
HEAA,66,6,6,4,0.999578728,0.000421272
ETA,66,6,6,4,0.999734779,0.000265221
SETA,66,6,6,4,0.999575976,0.000424024
OLOCA,66,6,6,4,0.999576045,0.000423955
MHERLOA,66,6,6,4,0.999577294,0.000422706
LDCA,66,6,6,4,0.999520331,0.000479669
HOAANED,66,6,6,4,0.999578159,0.000421841
COPY,67,6,7,3,0.636777348,0.363222652
LOA,67,6,7,3,0.636800705,0.363199295
TRUNC,67,6,7,3,0.636737452,0.363262548
COPY B,67,6,7,3,0.636781529,0.363218471
COPY AB,67,6,7,3,0.636778468,0.363221532
COPY BA,67,6,7,3,0.636780408,0.363219592
TRUNC 1,67,6,7,3,0.636823508,0.363176492
LZTA,67,6,7,3,0.999590020,0.000409980
HOERAA,67,6,7,3,0.999574698,0.000425302
MHEAA,67,6,7,3,0.999575135,0.000424865
HERLOA,67,6,7,3,0.999573751,0.000426249
HEAA,67,6,7,3,0.999575123,0.000424877
ETA,67,6,7,3,0.999734648,0.000265352
SETA,67,6,7,3,0.999573751,0.000426249
OLOCA,67,6,7,3,0.999573763,0.000426237
MHERLOA,67,6,7,3,0.999574331,0.000425669
LDCA,67,6,7,3,0.999520838,0.000479162
HOAANED,67,6,7,3,0.999574841,0.000425159
COPY,68,6,8,2,0.635053647,0.364946353
LOA,68,6,8,2,0.635063288,0.364936712
TRUNC,68,6,8,2,0.635036307,0.364963693
COPY B,68,6,8,2,0.635055399,0.364944601
COPY AB,68,6,8,2,0.635054711,0.364945289
COPY BA,68,6,8,2,0.635054335,0.364945665
TRUNC 1,68,6,8,2,0.635073118,0.364926882
LZTA,68,6,8,2,0.999561618,0.000438382
HOERAA,68,6,8,2,0.999557708,0.000442292
MHEAA,68,6,8,2,0.999557708,0.000442292
HERLOA,68,6,8,2,0.999557708,0.000442292
HEAA,68,6,8,2,0.999558445,0.000441555
ETA,68,6,8,2,0.999734435,0.000265565
SETA,68,6,8,2,0.999557708,0.000442292
OLOCA,68,6,8,2,0.999557708,0.000442292
MHERLOA,68,6,8,2,0.999558023,0.000441977
LDCA,68,6,8,2,0.999525093,0.000474907
HOAANED,68,6,8,2,0.999557708,0.000442292
COPY,69,6,9,1,0.635837871,0.364162129
LOA,69,6,9,1,0.635841102,0.364158898
TRUNC,69,6,9,1,0.635831888,0.364168112
COPY B,69,6,9,1,0.635838506,0.364161494
COPY AB,69,6,9,1,0.635837871,0.364162129
COPY BA,69,6,9,1,0.635838506,0.364161494
TRUNC 1,69,6,9,1,0.635844198,0.364155802
LZTA,69,6,9,1,0.999584226,0.000415774
HOERAA,69,6,9,1,0.999572451,0.000427549
MHEAA,69,6,9,1,0.999572451,0.000427549
HERLOA,69,6,9,1,0.999572321,0.000427679
HEAA,69,6,9,1,0.999572321,0.000427679
ETA,69,6,9,1,0.999734380,0.000265620
SETA,69,6,9,1,0.999572321,0.000427679
OLOCA,69,6,9,1,0.999572451,0.000427549
MHERLOA,69,6,9,1,0.999572451,0.000427549
LDCA,69,6,9,1,0.999527478,0.000472522
HOAANED,69,6,9,1,0.999572451,0.000427549
COPY,70,7,1,8,0.639147055,0.360852945
LOA,70,7,1,8,0.639987017,0.360012983
TRUNC,70,7,1,8,0.637683651,0.362316349
COPY B,70,7,1,8,0.639288957,0.360711043
COPY AB,70,7,1,8,0.639281898,0.360718102
COPY BA,70,7,1,8,0.639154155,0.360845845
TRUNC 1,70,7,1,8,0.640800059,0.359199941
LZTA,70,7,1,8,0.999931730,0.000068270
HOERAA,70,7,1,8,0.999939948,0.000060052
MHEAA,70,7,1,8,0.999942662,0.000057338
HERLOA,70,7,1,8,0.999943113,0.000056887
HEAA,70,7,1,8,0.999942976,0.000057024
ETA,70,7,1,8,0.999950090,0.000049910
SETA,70,7,1,8,0.999928991,0.000071009
OLOCA,70,7,1,8,0.999928258,0.000071742
MHERLOA,70,7,1,8,0.999943030,0.000056970
LDCA,70,7,1,8,0.999917131,0.000082869
HOAANED,70,7,1,8,0.999941667,0.000058333
COPY,71,7,2,7,0.637865865,0.362134135
LOA,71,7,2,7,0.638283181,0.361716819
TRUNC,71,7,2,7,0.637122830,0.362877170
COPY B,71,7,2,7,0.637897275,0.362102725
COPY AB,71,7,2,7,0.637889953,0.362110047
COPY BA,71,7,2,7,0.637873148,0.362126852
TRUNC 1,71,7,2,7,0.638676554,0.361323446
LZTA,71,7,2,7,0.999914172,0.000085828
HOERAA,71,7,2,7,0.999920292,0.000079708
MHEAA,71,7,2,7,0.999922355,0.000077645
HERLOA,71,7,2,7,0.999921917,0.000078083
HEAA,71,7,2,7,0.999922183,0.000077817
ETA,71,7,2,7,0.999937227,0.000062773
SETA,71,7,2,7,0.999914344,0.000085656
OLOCA,71,7,2,7,0.999914573,0.000085427
MHERLOA,71,7,2,7,0.999921959,0.000078041
LDCA,71,7,2,7,0.999906786,0.000093214
HOAANED,71,7,2,7,0.999921271,0.000078729
COPY,72,7,3,6,0.638629893,0.361370107
LOA,72,7,3,6,0.638843178,0.361156822
TRUNC,72,7,3,6,0.638286706,0.361713294
COPY B,72,7,3,6,0.638653532,0.361346468
COPY AB,72,7,3,6,0.638653239,0.361346761
COPY BA,72,7,3,6,0.638630163,0.361369837
TRUNC 1,72,7,3,6,0.639056930,0.360943070
LZTA,72,7,3,6,0.999908606,0.000091394
HOERAA,72,7,3,6,0.999907733,0.000092267
MHEAA,72,7,3,6,0.999908560,0.000091440
HERLOA,72,7,3,6,0.999908261,0.000091739
HEAA,72,7,3,6,0.999908315,0.000091685
ETA,72,7,3,6,0.999936251,0.000063749
SETA,72,7,3,6,0.999903464,0.000096536
OLOCA,72,7,3,6,0.999903662,0.000096338
MHERLOA,72,7,3,6,0.999908271,0.000091729
LDCA,72,7,3,6,0.999890681,0.000109319
HOAANED,72,7,3,6,0.999908224,0.000091776
COPY,73,7,4,5,0.634814789,0.365185211
LOA,73,7,4,5,0.634919947,0.365080053
TRUNC,73,7,4,5,0.634643681,0.365356319
COPY B,73,7,4,5,0.634832220,0.365167780
COPY AB,73,7,4,5,0.634830751,0.365169249
COPY BA,73,7,4,5,0.634816263,0.365183737
TRUNC 1,73,7,4,5,0.635020911,0.364979089
LZTA,73,7,4,5,0.999895236,0.000104764
HOERAA,73,7,4,5,0.999900166,0.000099834
MHEAA,73,7,4,5,0.999900783,0.000099217
HERLOA,73,7,4,5,0.999900661,0.000099339
HEAA,73,7,4,5,0.999900776,0.000099224
ETA,73,7,4,5,0.999935678,0.000064322
SETA,73,7,4,5,0.999898176,0.000101824
OLOCA,73,7,4,5,0.999898211,0.000101789
MHERLOA,73,7,4,5,0.999900657,0.000099343
LDCA,73,7,4,5,0.999884346,0.000115654
HOAANED,73,7,4,5,0.999900466,0.000099534
COPY,74,7,5,4,0.635789391,0.364210609
LOA,74,7,5,4,0.635843426,0.364156574
TRUNC,74,7,5,4,0.635714423,0.364285577
COPY B,74,7,5,4,0.635808039,0.364191961
COPY AB,74,7,5,4,0.635805215,0.364194785
COPY BA,74,7,5,4,0.635792217,0.364207783
TRUNC 1,74,7,5,4,0.635897165,0.364102835
LZTA,74,7,5,4,0.999893600,0.000106400
HOERAA,74,7,5,4,0.999897386,0.000102614
MHEAA,74,7,5,4,0.999897814,0.000102186
HERLOA,74,7,5,4,0.999897705,0.000102295
HEAA,74,7,5,4,0.999897794,0.000102206
ETA,74,7,5,4,0.999935752,0.000064248
SETA,74,7,5,4,0.999896427,0.000103573
OLOCA,74,7,5,4,0.999896453,0.000103547
MHERLOA,74,7,5,4,0.999897140,0.000102860
LDCA,74,7,5,4,0.999883491,0.000116509
HOAANED,74,7,5,4,0.999897590,0.000102410
COPY,75,7,6,3,0.638221289,0.361778711
LOA,75,7,6,3,0.638244483,0.361755517
TRUNC,75,7,6,3,0.638181654,0.361818346
COPY B,75,7,6,3,0.638225479,0.361774521
COPY AB,75,7,6,3,0.638222399,0.361777601
COPY BA,75,7,6,3,0.638224369,0.361775631
TRUNC 1,75,7,6,3,0.638267184,0.361732816
LZTA,75,7,6,3,0.999896688,0.000103312
HOERAA,75,7,6,3,0.999900860,0.000099140
MHEAA,75,7,6,3,0.999901049,0.000098951
HERLOA,75,7,6,3,0.999900403,0.000099597
HEAA,75,7,6,3,0.999901049,0.000098951
ETA,75,7,6,3,0.999935708,0.000064292
SETA,75,7,6,3,0.999900403,0.000099597
OLOCA,75,7,6,3,0.999900402,0.000099598
MHERLOA,75,7,6,3,0.999900699,0.000099301
LDCA,75,7,6,3,0.999881183,0.000118817
HOAANED,75,7,6,3,0.999900942,0.000099058
COPY,76,7,7,2,0.636434535,0.363565465
LOA,76,7,7,2,0.636444115,0.363555885
TRUNC,76,7,7,2,0.636417284,0.363582716
COPY B,76,7,7,2,0.636436281,0.363563719
COPY AB,76,7,7,2,0.636435590,0.363564410
COPY BA,76,7,7,2,0.636435226,0.363564774
TRUNC 1,76,7,7,2,0.636453870,0.363546130
LZTA,76,7,7,2,0.999894238,0.000105762
HOERAA,76,7,7,2,0.999894476,0.000105524
MHEAA,76,7,7,2,0.999894476,0.000105524
HERLOA,76,7,7,2,0.999894482,0.000105518
HEAA,76,7,7,2,0.999894838,0.000105162
ETA,76,7,7,2,0.999935679,0.000064321
SETA,76,7,7,2,0.999894482,0.000105518
OLOCA,76,7,7,2,0.999894476,0.000105524
MHERLOA,76,7,7,2,0.999894625,0.000105375
LDCA,76,7,7,2,0.999888929,0.000111071
HOAANED,76,7,7,2,0.999894476,0.000105524
COPY,77,7,8,1,0.637292383,0.362707617
LOA,77,7,8,1,0.637295592,0.362704408
TRUNC,77,7,8,1,0.637286435,0.362713565
COPY B,77,7,8,1,0.637293021,0.362706979
COPY AB,77,7,8,1,0.637292383,0.362707617
COPY BA,77,7,8,1,0.637293021,0.362706979
TRUNC 1,77,7,8,1,0.637298669,0.362701331
LZTA,77,7,8,1,0.999901103,0.000098897
HOERAA,77,7,8,1,0.999901343,0.000098657
MHEAA,77,7,8,1,0.999901343,0.000098657
HERLOA,77,7,8,1,0.999901284,0.000098716
HEAA,77,7,8,1,0.999901284,0.000098716
ETA,77,7,8,1,0.999935696,0.000064304
SETA,77,7,8,1,0.999901284,0.000098716
OLOCA,77,7,8,1,0.999901343,0.000098657
MHERLOA,77,7,8,1,0.999901343,0.000098657
LDCA,77,7,8,1,0.999889297,0.000110703
HOAANED,77,7,8,1,0.999901343,0.000098657
COPY,78,8,1,7,0.638644651,0.361355349
LOA,78,8,1,7,0.639061208,0.360938792
TRUNC,78,8,1,7,0.637904423,0.362095577
COPY B,78,8,1,7,0.638676754,0.361323246
COPY AB,78,8,1,7,0.638668604,0.361331396
COPY BA,78,8,1,7,0.638652762,0.361347238
TRUNC 1,78,8,1,7,0.639453853,0.360546147
LZTA,78,8,1,7,0.999982917,0.000017083
HOERAA,78,8,1,7,0.999985045,0.000014955
MHEAA,78,8,1,7,0.999985880,0.000014120
HERLOA,78,8,1,7,0.999985844,0.000014156
HEAA,78,8,1,7,0.999985861,0.000014139
ETA,78,8,1,7,0.999986445,0.000013555
SETA,78,8,1,7,0.999983026,0.000016974
OLOCA,78,8,1,7,0.999982959,0.000017041
MHERLOA,78,8,1,7,0.999985857,0.000014143
LDCA,78,8,1,7,0.999980328,0.000019672
HOAANED,78,8,1,7,0.999985331,0.000014669
COPY,79,8,2,6,0.639398909,0.360601091
LOA,79,8,2,6,0.639611632,0.360388368
TRUNC,79,8,2,6,0.639056859,0.360943141
COPY B,79,8,2,6,0.639422490,0.360577510
COPY AB,79,8,2,6,0.639422120,0.360577880
COPY BA,79,8,2,6,0.639399256,0.360600744
TRUNC 1,79,8,2,6,0.639824937,0.360175063
LZTA,79,8,2,6,0.999978710,0.000021290
HOERAA,79,8,2,6,0.999979501,0.000020499
MHEAA,79,8,2,6,0.999979910,0.000020090
HERLOA,79,8,2,6,0.999979795,0.000020205
HEAA,79,8,2,6,0.999979798,0.000020202
ETA,79,8,2,6,0.999984482,0.000015518
SETA,79,8,2,6,0.999977703,0.000022297
OLOCA,79,8,2,6,0.999977753,0.000022247
MHERLOA,79,8,2,6,0.999979807,0.000020193
LDCA,79,8,2,6,0.999975358,0.000024642
HOAANED,79,8,2,6,0.999979705,0.000020295
COPY,80,8,3,5,0.635553627,0.364446373
LOA,80,8,3,5,0.635658606,0.364341394
TRUNC,80,8,3,5,0.635383110,0.364616890
COPY B,80,8,3,5,0.635571194,0.364428806
COPY AB,80,8,3,5,0.635569645,0.364430355
COPY BA,80,8,3,5,0.635555182,0.364444818
TRUNC 1,80,8,3,5,0.635759298,0.364240702
LZTA,80,8,3,5,0.999974128,0.000025872
HOERAA,80,8,3,5,0.999975765,0.000024235
MHEAA,80,8,3,5,0.999976041,0.000023959
HERLOA,80,8,3,5,0.999976006,0.000023994
HEAA,80,8,3,5,0.999976047,0.000023953
ETA,80,8,3,5,0.999983482,0.000016518
SETA,80,8,3,5,0.999974820,0.000025180
OLOCA,80,8,3,5,0.999974823,0.000025177
MHERLOA,80,8,3,5,0.999976010,0.000023990
LDCA,80,8,3,5,0.999970763,0.000029237
HOAANED,80,8,3,5,0.999975938,0.000024062
COPY,81,8,4,4,0.636524712,0.363475288
LOA,81,8,4,4,0.636578662,0.363421338
